sid	nid	size	dilated_size	scaling	magnification	image_type	Channel	Nuclei	x	y	z	Value	FWHM	SNR	NSNR	Label	SNR2	Value2
1	7	8570	15948	0.25575	20x	dw	a647	69	72.35300000000001	251.937	54.983999999999995	23.759	1.3	9.878	17.319000000000003	0	6.5275807214205095	92.8993157380254
1	96	4008	9222	0.25575	20x	dw	a647	0	341.048	426.066	53.974	23.304000000000002	1.3319999999999999	121.72399999999999	-1.0	0	97.3114825668252	91.12023460410559
1	84	7434	14410	0.25575	20x	dw	a647	0	299.205	26.63	55.81	22.914	1.4380000000000002	6.91	-1.0	0	8.5505365714235	89.5953079178886
1	120	15858	22102	0.25575	20x	dw	a647	83	512.893	370.9	51.942	22.883000000000003	1.472	73.237	20.647	0	19.8042908530386	89.47409579667651
1	24	5597	9324	0.25575	20x	dw	a647	13	124.264	138.32399999999998	53.964	22.868000000000002	1.268	73.082	18.305	0	16.401907244012403	89.41544477028351
1	18	11165	21464	0.25575	20x	dw	a647	13	82.51	76.783	56.013000000000005	22.81	1.321	8.875	18.055999999999997	0	8.31478142256362	89.18866080156401
1	59	4563	10818	0.25575	20x	dw	a647	0	228.308	399.76	55.172	22.49	1.3530000000000002	29.916999999999998	-1.0	0	14.8266411821018	87.93743890518091
1	79	7362	14370	0.25575	20x	dw	a647	0	299.422	203.55599999999998	52.106	22.372	1.3	16.2	-1.0	0	19.2665961280002	87.47605083088949
1	116	6376	11709	0.25575	20x	dw	a647	0	430.251	219.765	55.928999999999995	22.258000000000003	1.374	85.471	-1.0	0	61.982196136638	87.0303030303031
1	21	4421	8778	0.25575	20x	dw	a647	0	129.024	89.868	54.074	20.701999999999998	1.085	78.74	-1.0	0	17.8146432340756	80.94623655913979
1	99	6084	10494	0.25575	20x	dw	a647	100	364.94199999999995	406.92800000000005	53.076	20.496	1.203	29.013	19.464000000000002	0	11.2468957906973	80.1407624633431
1	89	10436	20499	0.25575	20x	dw	a647	60	349.43699999999995	208.173	55.111000000000004	20.384	1.3430000000000002	19.195	16.201	0	9.63054626282885	79.70283479960901
1	110	7916	11319	0.25575	20x	dw	a647	0	428.834	572.231	53.952	19.94	1.672	16.855999999999998	-1.0	0	18.8073921071176	77.9667644183773
1	115	1592	2468	0.25575	20x	dw	a647	58	415.08	188.87099999999998	55.99100000000001	19.86	1.268	10.969000000000001	13.790999999999999	0	12.282738337242902	77.6539589442815
1	111	5754	12212	0.25575	20x	dw	a647	124	434.147	600.654	55.021	19.81	1.321	41.31100000000001	17.067999999999998	0	10.409590339505499	77.4584555229717
1	84	7434	14410	0.25575	20x	dw	a647	11	311.103	23.101999999999997	55.053000000000004	19.804000000000002	0.934	95.287	16.124000000000002	0	36.324407960527395	77.4349951124145
1	21	4421	8778	0.25575	20x	dw	a647	13	118.05	77.57600000000001	54.912	19.762	0.966	36.131	14.184000000000001	0	18.7276445724805	77.2707722385142
1	34	12042	22664	0.25575	20x	dw	a647	0	99.411	366.63599999999997	52.153999999999996	19.701	1.4040000000000001	22.423000000000002	-1.0	0	9.03598035203285	77.0322580645162
1	34	12042	22664	0.25575	20x	dw	a647	81	81.214	354.025	53.996	19.512	1.4069999999999998	30.514	13.955	0	15.345907606434698	76.2932551319648
1	94	3970	7457	0.25575	20x	dw	a647	0	399.962	15.109000000000002	53.888999999999996	19.483	1.589	1.936	-1.0	0	2.61943871071151	76.17986314760509
1	116	6376	11709	0.25575	20x	dw	a647	0	428.98800000000006	177.43599999999998	56.053000000000004	19.253	1.31	15.015	-1.0	0	18.406227607637803	75.28054740957971
1	18	11165	21464	0.25575	20x	dw	a647	13	74.266	73.17699999999999	56.058	19.243	1.214	7.519	15.075999999999999	0	6.31680163261982	75.2414467253177
1	89	10436	20499	0.25575	20x	dw	a647	60	368.14300000000003	204.074	56.163999999999994	19.22	1.3530000000000002	15.944	16.055999999999997	0	17.066823772275	75.15151515151521
1	25	3159	5704	0.25575	20x	dw	a647	0	149.296	131.857	55.989	19.047	1.3	15.731	-1.0	0	13.174668163501401	74.475073313783
1	1	2988	7363	0.25575	20x	dw	a647	0	12.805	117.133	55.07899999999999	19.017	1.311	69.908	-1.0	0	37.5390430953027	74.3577712609971
1	122	5016	7657	0.25575	20x	dw	a647	0	510.61	340.039	49.861000000000004	19.007	1.406	14.515999999999998	-1.0	0	12.9598224752576	74.3186705767351
1	22	6235	10654	0.25575	20x	dw	a647	0	143.955	98.678	56.033	18.949	1.311	29.151	-1.0	0	14.924578171629697	74.0918866080157
1	26	7168	14005	0.25575	20x	dw	a647	13	167.101	144.767	53.875	18.891	1.375	13.55	13.625	0	7.766288901705769	73.86510263929621
1	22	6235	10654	0.25575	20x	dw	a647	13	144.559	92.111	55.933	18.676	1.705	66.229	16.622	0	14.221878716369199	73.0244379276638
1	43	1625	3711	0.25575	20x	dw	a647	66	103.905	232.83700000000002	54.06399999999999	18.392	1.364	26.563000000000002	13.664000000000001	0	12.6847699722543	71.9139784946237
1	18	11165	21464	0.25575	20x	dw	a647	13	75.172	60.201	52.95399999999999	18.319000000000003	1.31	6.787999999999999	15.622	0	7.972074899794179	71.6285434995113
