series_id	matched	matched_over_dist	raw_total	dw_total
1	1023	249	1301	1272
2	1425	306	1731	1865
3	774	174	948	1032
4	1253	270	1523	1534
5	1838	423	2261	2471
6	516	148	664	869
7	206	100	306	901
