level_0	index	sid	nid	size	dilated_size	scaling	magnification	image_type	Channel	Nuclei	x	y	z	Value	FWHM	SNR	NSNR	Label	SNR2	Value2
47	47	1	100	6930	11930	1.0	20x	raw	a647	100	374.91	385.89	53.944	0.329	2.485	9.063	1.3	0	7.11061678078739	0.329
50	50	1	140	20763	33360	1.0	20x	raw	a647	0	554.997	433.071	57.146	0.324	1.825	15.481	-1.0	0	15.4509805141785	0.324
49	49	1	147	7146	12892	1.0	20x	raw	a647	93	597.033	371.073	50.17	0.325	1.88	12.173	1.348	0	5.36531396326262	0.325
51	51	1	6	4677	8732	1.0	20x	raw	a647	69	50.021	266.024	54.19	0.322	1.816	16.849	1.337	0	16.0209062046709	0.322
52	52	1	6	4677	8732	1.0	20x	raw	a647	69	50.04600000000001	264.946	52.844	0.322	1.707	8.068	1.296	0	8.54515477627112	0.322
56	56	1	7	8570	15948	1.0	20x	raw	a647	69	77.012	253.117	50.923	0.318	3.125	3.539	1.4369999999999998	0	3.59640758059248	0.318
57	57	1	2	4356	8129	1.0	20x	raw	a647	0	16.065	164.043	49.99100000000001	0.316	2.02	13.083	-1.0	0	14.1598495424406	0.316
58	58	1	59	4563	10818	1.0	20x	raw	a647	0	227.911	400.197	55.105	0.315	1.986	15.18	-1.0	0	6.03346812857454	0.315
59	59	1	120	15858	22102	1.0	20x	raw	a647	83	513.0840000000002	372.003	49.018	0.314	2.922	11.518	1.321	0	7.5723184736722	0.314
61	61	1	21	4421	8778	1.0	20x	raw	a647	0	129.026	78.07600000000002	54.145	0.313	3.963	14.523	-1.0	0	9.31630039187294	0.313
62	62	1	89	10436	20499	1.0	20x	raw	a647	0	345.904	200.198	53.052	0.313	1.579	7.401	-1.0	0	7.0298688454233895	0.313
63	63	1	62	6307	12284	1.0	20x	raw	a647	0	272.956	641.122	47.87	0.312	2.687	7.125	-1.0	0	5.540926317523639	0.312
103	103	1	89	10436	20499	1.0	20x	raw	a647	60	349.03	208.082	56.972	0.279	2.001	14.751	1.295	0	10.2262023814219	0.279
65	65	1	2	4356	8129	1.0	20x	raw	a647	0	17.102999999999998	163.921	52.017	0.311	3.04	13.9	-1.0	0	12.7591370574781	0.311
66	66	1	6	4677	8732	1.0	20x	raw	a647	69	52.913	258.861	53.122	0.308	2.2030000000000003	3.017	1.327	0	2.62845168322394	0.308
67	67	1	79	7362	14370	1.0	20x	raw	a647	54	280.013	185.999	54.147	0.308	2.49	11.025	1.383	0	12.870701768615598	0.308
153	153	1	6	4677	8732	1.0	20x	raw	a647	69	74.92699999999998	267.024	54.011	0.251	1.987	5.933	1.269	0	6.09846477041044	0.251
69	69	1	115	1592	2468	1.0	20x	raw	a647	58	415.078	189.086	56.00899999999999	0.307	1.922	7.33	1.367	0	7.26237711052226	0.307
70	70	1	119	5734	8814	1.0	20x	raw	a647	83	498.992	346.25	53.063	0.304	2.004	4.934	1.43	0	5.20955526369656	0.304
71	71	1	84	7434	14410	1.0	20x	raw	a647	11	328.0180000000001	42.07	55.978	0.302	1.997	12.122	1.237	0	6.78042768144065	0.302
72	72	1	99	6084	10494	1.0	20x	raw	a647	100	361.792	399.952	54.974	0.299	2.029	4.408	1.416	0	3.8322449158748	0.299
73	73	1	152	5833	11405	1.0	20x	raw	a647	116	598.096	455.021	48.944	0.297	3.469	10.033	1.314	0	6.026461154810799	0.297
74	74	1	120	15858	22102	1.0	20x	raw	a647	0	485.963	382.121	51.008	0.297	1.951	3.289	-1.0	0	3.27035012591959	0.297
75	75	1	73	3704	7917	1.0	20x	raw	a647	0	227.067	35.068000000000005	53.13800000000001	0.297	2.156	10.205	-1.0	0	11.5681730569013	0.297
