series_id	matched	matched_over_dist	raw_total	dw_total
1	994	197	1191	1308
2	1423	273	1696	1921
3	745	134	879	1045
4	1176	188	1364	1548
5	1691	312	2003	2404
6	415	142	557	691
7	151	107	258	523
