image_type	magnification	sid	thr
dw	20x	1	11
dw	20x	2	12
dw	20x	3	11
dw	20x	4	11
dw	20x	5	10.5
dw	20x	6	11
dw	20x	7	12
raw	20x	1	0.095
raw	20x	2	0.095
raw	20x	3	0.085
raw	20x	4	0.085
raw	20x	5	0.092
raw	20x	6	0.092
raw	20x	7	0.096
