x	y
320.953	49.99100000000001
414.19800000000004	124.273
80.611	256.97700000000003
517.9	383.024
56.765	249.688
49.141999999999996	255.636
430.37199999999996	591.378
363.344	184.43599999999998
77.031	60.762
219.047	408.064
307.325	51.31
129.877	80.961
527.0980000000001	400.345
87.103	56.61600000000001
380.217	202.923
345.735	200.17
554.896	339.152
404.126	15.262
554.943	432.98400000000004
117.965	214.987
280.053	186.207
77.043	232.938
72.35300000000001	251.937
341.048	426.066
124.264	138.32399999999998
82.51	76.783
228.308	399.76
299.422	203.55599999999998
129.024	89.868
364.94199999999995	406.92800000000005
349.43699999999995	208.173
428.834	572.231
415.08	188.87099999999998
311.103	23.101999999999997
118.05	77.57600000000001
99.411	366.63599999999997
81.214	354.025
428.98800000000006	177.43599999999998
74.266	73.17699999999999
368.14300000000003	204.074
149.296	131.857
12.805	117.133
510.61	340.039
143.955	98.678
167.101	144.767
144.559	92.111
103.905	232.83700000000002
75.172	60.201
403.99699999999996	17.914
368.903	388.347
13.005999999999998	125.833
362.032	400.04699999999997
66.384	51.138000000000005
267.238	639.16
588.993	372.952
76.165	49.036
129.299	78.059
555.6469999999999	362.959
58.023	68.024
78.702	250.21900000000002
12.729000000000001	173.2
360.034	436.966
526.5219999999999	370.906
159.996	137.686
555.192	366.145
490.527	384.865
310.155	49.276
91.139	261.288
287.112	191.328
589.202	368.77
77.02600000000001	252.90599999999998
359.93300000000005	405.19300000000004
498.73	345.89099999999996
120.882	139.914
107.979	91.15799999999999
134.273	131.10399999999998
91.15299999999999	261.96299999999997
79.232	261.176
336.139	207.90900000000002
307.58099999999996	22.029
330.87699999999995	36.226
52.843	259.459
66.143	226.172
370.81800000000004	400.534
404.759	17.843
609.882	450.405
364.76	185.551
59.995	240.905
273.365	640.731
268.87	641.7769999999999
76.35	69.262
547.066	339.582
426.908	554.174
364.94300000000004	201.989
376.894	136.017
422.916	191.09099999999998
374.74300000000005	386.099
72.899	230.905
116.44	89.868
350.384	203.953
79.669	240.33900000000003
133.833	145.17600000000002
82.975	257.658
50.217	265.545
588.756	365.93
138.532	81.83
536.781	390.65
148.007	99.75399999999999
331.811	31.973000000000003
108.947	366.207
327.94300000000004	41.836999999999996
302.469	31.308000000000003
583.995	365.773
60.43600000000001	249.91400000000002
64.279	250.128
140.964	273.697
486.901	349.031
235.93099999999998	636.225
78.571	236.77
132.635	97.339
57.756	254.976
82.613	246.67700000000002
305.957	45.983000000000004
277.92400000000004	200.15
107.75299999999999	79.044
95.772	72.961
396.082	386.11
85.959	73.12100000000001
18.680999999999997	191.775
389.879	389.79400000000004
84.891	54.355
224.84599999999998	416.619
180.011	144.83
61.221000000000004	244.2
586.899	36.251
421.975	577.894
75.056	266.944
26.247	471.85400000000004
226.912	41.937
539.691	334.301
181.945	148.046
16.283	163.96400000000003
300.782	200.169
12.068	190.90400000000002
377.798	25.155
311.824	22.234
86.977	60.236000000000004
208.26	405.105
61.968	181.824
85.95100000000001	359.86699999999996
509.99300000000005	374.663
261.149	619.058
311.232	39.482
140.847	78.14399999999999
298.32099999999997	34.832
400.477	179.995
163.868	146.299
500.837	333.95
34.268	528.22
291.915	194.075
147.96	139.268
515.2230000000001	353.819
512.925	369.44
78.98	531.02
85.973	359.26099999999997
300.059	49.833
75.668	247.11700000000002
162.764	142.03
142.482	112.588
107.01299999999999	79.84100000000001
137.275	106.179
361.964	412.9
283.204	89.012
621.817	457.13800000000003
497.849	343.181
97.06299999999999	376.99300000000005
298.175	198.825
147.69	109.825
246.737	624.863
404.968	198.805
109.98200000000001	358.275
78.86399999999999	350.949
55.994	260.922
224.08599999999998	415.31699999999995
73.91	252.778
321.157	43.949
379.779	185.86599999999999
385.666	390.73800000000006
82.88	354.462
64.391	65.077
410.85400000000004	210.98
521.9730000000001	95.001
536.957	347.265
178.15900000000002	144.024
211.69299999999998	392.23800000000006
213.585	408.16900000000004
535.317	374.884
75.844	266.857
92.905	352.86199999999997
339.901	205.02200000000002
78.374	241.55900000000003
415.05800000000005	110.821
354.67699999999996	179.968
620.761	369.074
388.853	200.28400000000002
400.24	193.933
117.90299999999999	93.915
124.26100000000001	525.844
393.82099999999997	200.97099999999998
431.17900000000003	184.00900000000001
223.02599999999998	401.244
70.936	239.918
102.67	82.859
76.262	55.126999999999995
426.27	34.985
280.197	187.99099999999999
549.2280000000001	374.05
219.032	413.269
308.528	52.652
228.071	418.142
136.386	96.71799999999999
356.005	407.21
535.3969999999999	390.098
205.611	409.163
309.973	24.732
67.817	245.322
135.175	126.053
511.87199999999996	347.31800000000004
337.369	32.24
144.084	136.52700000000002
488.978	359.256
370.829	399.18699999999995
624.9490000000001	460.29
351.19	170.942
491.12800000000004	388.12800000000004
337.781	38.173
488.974	337.876
127.22200000000001	232.857
651.009	128.85399999999998
35.2	430.85
79.017	344.736
492.102	354.97900000000004
230.855	415.00800000000004
69.343	261.034
282.967	204.18900000000002
362.11199999999997	193.797
315.062	52.871
31.247	515.04
288.397	187.333
63.17100000000001	544.077
401.894	192.209
413.325	183.80599999999998
550.185	357.166
510.23400000000004	351.715
244.21200000000002	613.65
118.904	76.374
494.26199999999994	353.31
650.105	97.802
600.243	365.19699999999995
216.051	392.226
520.6519999999999	339.30300000000005
103.20299999999999	253.02900000000002
594.052	376.026
111.027	91.191
86.818	75.962
305.028	37.95
296.964	219.657
421.25300000000004	578.072
324.851	223.65400000000002
57.173	257.908
387.827	384.19300000000004
418.194	226.583
84.208	255.61
246.31599999999997	42.966
103.77	60.273
224.265	410.07199999999995
415.13300000000004	217.049
48.793	547.04
381.156	385.11400000000003
83.075	252.162
365.095	393.264
68.247	63.18899999999999
17.167	166.80200000000002
366.77	182.11700000000002
278.072	195.56400000000002
428.13199999999995	572.749
57.793	256.976
492.664	315.112
306.655	37.268
507.292	362.471
473.69699999999995	322.029
71.9	53.717
151.92	133.14600000000002
433.129	177.60299999999998
240.77	47.098
505.93	386.18
575.6759999999999	349.15
621.911	443.042
64.148	530.2080000000001
647.05	437.30300000000005
351.335	216.81900000000002
399.156	201.803
495.99800000000005	328.796
550.85	336.279
99.20299999999999	364.082
91.91	343.913
380.07099999999997	390.684
511.615	351.145
67.033	347.833
17.7	163.088
250.104	629.11
374.06199999999995	395.42199999999997
367.56199999999995	197.71
137.2	100.738
76.954	58.004
407.194	45.176
640.7819999999999	397.9
71.833	243.229
42.183	543.7869999999999
294.257	206.38099999999997
186.0	147.793
666.202	442.874
514.0169999999999	334.86199999999997
316.887	226.104
387.231	200.12
