series	id_20x	id_60x	eudist
1	1	361	1.6389543892373102
1	4	0	4.095932041672654
1	10	1235	4.408796353881657
1	11	2	1.3889724583303469
1	14	20	2.060996965063634
1	15	7	3.595546563459022
1	19	95	4.7892972856150395
1	20	5	1.6519004479691635
1	23	534	0.4228851971871098
1	24	1011	8.368872486183713
1	26	43	5.311142559751084
1	27	619	1.607901082156428
1	29	78	4.22223375596373
1	30	966	0.524006956060729
1	35	52	1.5964497142096925
1	36	82	2.994249670618436
1	37	797	2.985098874409385
1	38	218	2.1777278732661007
1	39	690	2.218446052983954
1	40	25	3.726982491238591
1	41	640	3.025497891257166
1	47	466	2.5881620293174845
1	49	441	2.2295338279557906
1	53	248	3.183624583709642
1	54	57	4.171035301936174
1	55	937	2.170410765270299
1	56	1039	4.904256364628472
1	58	29	1.4177557229651552
1	59	1261	3.2329044975069934
1	60	929	3.6878416845087427
1	61	258	4.240461424184865
1	62	6	3.7605776271737867
1	63	38	1.648743791497105
1	70	72	3.4640504745166383
1	71	66	3.7422777943386984
1	72	84	0.4580038100277732
1	79	365	5.908103781248315
1	82	573	3.008613383271382
1	83	503	0.8018133760421313
1	84	9	1.0709937861629009
1	85	657	0.576023515144943
1	88	12	3.5534826987053014
1	89	13	3.001305930757524
1	92	37	3.695986105222716
1	95	51	3.6939669584335593
1	96	132	1.3162181772033412
1	97	136	5.186774092824969
1	99	391	6.822756560951176
1	101	444	1.3873624940872027
1	102	21	2.211689691163619
1	104	668	3.5471602853549045
1	105	11	4.464269244792291
1	107	977	0.2044282025553092
1	108	32	2.7705103302462275
1	110	836	2.273326349207313
1	112	26	2.2650000640175434
1	114	884	2.0353584180678026
1	115	889	3.9807952082467146
1	117	651	1.0506857237060134
1	119	883	2.7998072594376477
1	120	1228	2.6051626993337
1	121	401	4.3625847945914
1	127	508	4.166138534662564
1	128	41	3.9405136073867544
1	129	1139	5.080977887178772
1	130	419	3.010863744841283
1	131	1127	2.8176196141424388
1	132	201	4.000770537033893
1	136	713	0.8351933249254753
1	137	946	2.17438397942954
1	138	120	1.1662849094455348
1	139	637	5.116402358102901
1	140	332	4.121280127581702
1	143	1070	2.071166118398097
1	147	1015	2.3400157456734223
1	148	432	1.5461414844697272
1	149	511	3.0614851771647182
1	151	453	1.9272420424014447
1	153	242	4.7181178334161435
1	155	754	5.402527342827644
1	157	320	5.2062630062262745
1	158	102	4.154629067678432
1	161	208	2.2377418729605103
1	162	114	2.90592362081315
1	164	111	2.2680051344740026
1	171	97	1.974126867756666
1	172	370	4.697551158848594
1	173	535	2.993915979114809
1	174	68	1.890056107632734
1	175	749	2.761451554888909
1	177	23	1.3630364962096246
1	178	1022	0.18967996731333805
1	179	575	4.058719242568937
1	181	1121	5.812708705070307
1	184	56	1.2319949228789884
1	185	1114	0.8013390605729945
1	186	349	4.911115462906364
1	187	363	5.225674242621744
1	190	707	5.577701541853971
1	191	42	2.178493674537237
1	192	24	0.7760229957932532
1	194	336	2.731725112451812
1	195	747	5.374708428370828
1	197	730	4.539784916711382
1	198	539	2.0054708399774865
1	199	949	2.4190471037166024
1	206	1103	1.242875090264664
1	208	16	3.4351460653078334
1	209	892	1.5741894708074504
1	213	70	8.367936644717155
1	217	347	1.9049214918203357
1	219	235	0.22125797160752306
1	223	135	1.5440316350387837
1	225	148	1.7676188192028772
1	226	769	1.1815254081058648
1	228	373	1.739763228143732
1	230	164	1.5335648307129954
1	234	721	4.812883136956435
1	238	1078	3.189933806523249
1	239	656	5.347838338057714
1	241	1073	6.089187949965088
1	243	548	1.8874956132400285
1	246	285	3.1786386850345965
1	251	630	5.226797861980007
1	252	175	2.374670859298055
1	256	517	1.5302485059624518
1	257	47	1.6837778030367612
1	262	424	3.0983982135936285
1	265	523	1.6699932005849816
1	266	734	3.9972975233273846
1	270	22	2.5219222212432437
1	272	340	1.1058119596025644
1	273	772	5.107673569248478
1	276	372	2.845036922431921
1	277	426	4.389810370619726
1	279	110	3.160412740450153
1	281	216	0.1781266122733321
1	285	381	5.03817352718216
1	286	260	0.8132224111522571
1	294	354	4.372027160254205
1	297	139	0.6816985330776157
1	300	81	3.212516504238061
1	301	187	1.4462995160062346
