series_id	matched	matched_over_dist	raw_total	dw_total
1	1038	234	2203	1272
2	1487	378	3098	1865
3	734	298	1784	1032
4	1318	216	3009	1534
5	1226	1245	3814	2471
6	501	369	1040	870
7	129	308	437	904
