series_id	matched	matched_over_dist	raw_total	dw_total
1	990	282	1554	1272
2	1426	439	2249	1865
3	696	336	1291	1032
4	1269	265	2201	1534
5	1142	1329	2770	2471
6	465	308	773	870
7	123	236	359	904
