series_id	matched	matched_over_dist	raw_total	dw_total
1	1083	225	2370	1308
2	1539	382	3319	1921
3	715	330	1623	1045
4	1289	259	2727	1548
5	1226	1178	3956	2404
6	477	214	1101	691
7	118	404	589	522
