sid,x,y
1,-1.6787,-0.8950
2,-1.8275,-0.7715
3,-2.3070,-1.2406
4,-1.7318,-0.5125
5,-1.6760,-1.6029
6,-1.9760,-1.0534
7,-2.5533,-1.4364
