sid,nid,size,dilated_size
2,115,1376,2061
2,116,4839,8689
2,117,7584,13750
2,118,5370,9536
2,119,2949,5767
2,120,3367,7077
2,121,1487,2939
2,122,2410,5366
2,123,12951,24085
2,124,9421,16851
2,125,5123,10533
2,126,4428,10720
2,127,17478,32113
2,128,4680,9142
2,129,10443,18678
2,130,3249,8328
2,131,3961,9112
2,132,4018,8110
2,133,6991,12135
2,134,4477,5582
2,135,3211,7125
2,136,7596,14828
2,137,5401,8674
2,138,7211,11946
2,139,4230,8761
2,140,6687,15292
2,141,1920,3037
2,142,12303,26551
2,143,2871,4903
2,144,2498,3448
2,145,9500,18327
2,146,5634,12878
2,147,2638,4736
2,148,4224,10181
2,149,4410,11570
2,150,9873,18062
2,151,7653,12538
2,152,1932,3563
2,153,7581,15989
2,154,6513,12281
2,155,2739,5976
2,156,5010,9490
2,157,1509,1883
2,158,6201,15910
2,159,8646,15251
2,160,2139,4622
2,161,5088,10746
2,162,4406,8910
2,163,3724,5064
2,164,1626,3081
2,165,3165,5050
3,1,7821,13668
3,2,7380,14365
3,3,5175,12460
3,4,6525,14892
3,5,7461,14266
3,6,3204,7788
3,7,3411,8667
3,8,9261,17422
3,9,6426,13702
3,10,1802,3238
3,11,9978,18027
3,12,4917,8583
3,13,595,1286
3,14,1160,2832
3,15,14090,22826
3,16,5440,9973
3,17,9504,16362
3,18,4400,7251
3,19,2183,4253
3,20,3045,6928
3,21,2186,3573
3,22,2917,5738
3,23,2557,4955
3,24,3800,7046
3,25,6150,13974
3,26,2419,4972
3,27,2085,4807
3,28,5761,7626
3,29,3693,7261
3,30,2394,6916
3,31,6405,11715
3,32,5864,11687
3,33,7377,15040
3,34,3216,6769
3,35,6203,11047
3,36,6516,12040
3,37,4698,10618
3,38,3826,7606
3,39,3630,9518
3,40,798,1248
3,41,5066,9378
3,42,3295,5912
3,43,4930,11079
3,44,2871,8629
3,45,7911,15105
3,46,4581,11149
3,47,5073,8905
3,48,7527,13071
3,49,5247,12202
3,50,2529,7111
