series_id	matched	matched_over_dist	raw_total	dw_total
1	1308	90	1411	1398
2	1921	148	2069	2076
3	1045	70	1138	1115
4	1548	131	1679	1684
5	2404	171	2648	2575
6	691	68	759	809
7	523	65	588	676
